g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-1.419285
Position (m),	Time (s)
-223.631252,	0.150600
-224.357751,	0.150800
-225.047309,	0.151000
-225.847688,	0.151200
-226.561874,	0.151400
-227.312999,	0.151600
-228.027184,	0.151800
-228.778310,	0.152000
-230.058918,	0.152200
-230.280562,	0.152400
-231.019374,	0.152600
-231.696619,	0.152800
-232.472371,	0.153000
-233.198870,	0.153200
-233.925369,	0.153400
-234.688808,	0.153600
-235.452248,	0.153800
-236.203374,	0.154000
-236.880618,	0.154200
-237.656371,	0.154400
-238.370556,	0.154600
-239.133996,	0.154800
-239.934376,	0.155000
-240.611621,	0.155200
-241.387374,	0.155400
-242.101559,	0.155600
-242.852685,	0.155800
-243.788514,	0.156000
-244.354937,	0.156200
-245.056809,	0.156400
-245.857189,	0.156600
-246.596001,	0.156800
-247.310187,	0.157000
-248.098253,	0.157200
-248.886320,	0.157400
-249.575878,	0.157600
-250.339318,	0.157800
-251.078131,	0.158000
-251.816943,	0.158200
-252.568069,	0.158400
-253.306882,	0.158600
-254.144203,	0.158800
-254.821448,	0.159000
-255.597201,	0.159200
-256.372954,	0.159400
-257.087140,	0.159600
-258.207672,	0.159800
-258.614019,	0.160000
-259.365146,	0.160200
-260.091645,	0.160400
-260.867398,	0.160600
-261.630838,	0.160800
-262.394278,	0.161000
-263.182345,	0.161200
-263.921157,	0.161400
-264.672284,	0.161600
-265.411097,	0.161800
-266.174537,	0.162000
-266.901036,	0.162200
-267.701416,	0.162400
-268.464856,	0.162600
-269.228296,	0.162800
-269.967109,	0.163000
-270.730549,	0.163200
-271.518616,	0.163400
-272.368251,	0.163600
-273.020869,	0.163800
-273.784310,	0.164000
-274.547750,	0.164200
-275.311190,	0.164400
-276.000749,	0.164600
-276.850384,	0.164800
-277.576883,	0.165000
-278.328010,	0.165200
-279.202272,	0.165400
-279.854890,	0.165600
-280.642957,	0.165800
-281.332516,	0.166000
-282.182152,	0.166200
-282.920965,	0.166400
-283.733659,	0.166600
-284.472472,	0.166800
-285.223599,	0.167000
-285.987040,	0.167200
-286.762793,	0.167400
-287.476980,	0.167600
-288.228107,	0.167800
-289.053115,	0.168000
-289.841182,	0.168200
-290.629250,	0.168400
-291.343436,	0.168600
-292.180758,	0.168800
-292.931885,	0.169000
-293.646071,	0.169200
-294.409512,	0.169400
-295.222207,	0.169600
-295.997961,	0.169800
-296.736774,	0.170000
-297.561783,	0.170200
-298.300596,	0.170400
-299.088664,	0.170600
-299.839791,	0.170800
-300.750995,	0.171000
-301.391300,	0.171200
-302.253249,	0.171400
-302.955122,	0.171600
-303.780131,	0.171800
-304.518944,	0.172000
-305.294699,	0.172200
-306.058140,	0.172400
-306.895462,	0.172600
-307.708157,	0.172800
-308.446971,	0.173000
-309.173471,	0.173200
-309.936912,	0.173400
-310.761921,	0.173600
